RESULT skip discovery.scan cancel_before_start ALPHA 0/0 Not yet implemented
RESULT skip discovery.scan cancel_periodic ALPHA 0/0 Not yet implemented
RESULT fail discovery.scan periodic_scan_fixed ALPHA 0/5 scan iteration
RESULT skip discovery.scan periodic_scan_floating ALPHA 0/0 Not yet implemented
RESULT pass discovery.scan single_scan_future ALPHA 5/5 Sequence complete
RESULT pass discovery.scan single_scan_past ALPHA 5/5 Sequence complete
RESULT pass endpoint.config endpoint_connection_bad_hash ALPHA 5/5 Sequence complete
RESULT pass endpoint.config endpoint_connection_error PREVIEW 5/5 Sequence complete
RESULT pass endpoint.config endpoint_connection_retry PREVIEW 5/5 Sequence complete
RESULT pass endpoint.config endpoint_connection_success_alternate PREVIEW 5/5 Sequence complete
RESULT pass endpoint.config endpoint_connection_success_reconnect PREVIEW 5/5 Sequence complete
RESULT pass endpoint.config endpoint_failure_and_restart PREVIEW 5/5 Sequence complete
RESULT pass endpoint.config endpoint_redirect_and_restart PREVIEW 5/5 Sequence complete
RESULT pass enumeration empty_enumeration PREVIEW 5/5 Sequence complete
RESULT pass enumeration multi_enumeration ALPHA 5/5 Sequence complete
RESULT pass enumeration.families family_enumeration ALPHA 5/5 Sequence complete
RESULT pass enumeration.features feature_enumeration PREVIEW 5/5 Sequence complete
RESULT pass enumeration.pointset pointset_enumeration ALPHA 5/5 Sequence complete
RESULT skip gateway bad_target_family PREVIEW 0/0 Not a proxied device
RESULT skip gateway gateway_attach_handling ALPHA 0/0 Not a gateway
RESULT skip gateway gateway_proxy_events BETA 0/0 Not a gateway
RESULT pass pointset pointset_publish BETA 5/5 Sequence complete
RESULT pass pointset pointset_publish_interval BETA 5/5 Sequence complete
RESULT pass pointset pointset_remove_point BETA 5/5 Sequence complete
RESULT pass pointset pointset_request_extraneous BETA 5/5 Sequence complete
RESULT pass system broken_config BETA 5/5 Sequence complete
CPBLTY pass system broken_config.logging ALPHA 1/1 Capability functional
RESULT pass system config_logging BETA 5/5 Sequence complete
RESULT pass system device_config_acked BETA 5/5 Sequence complete
RESULT pass system extra_config BETA 5/5 Sequence complete
RESULT pass system family_ether_addr PREVIEW 5/5 Sequence complete
RESULT pass system family_ipv4_addr PREVIEW 5/5 Sequence complete
RESULT pass system family_ipv6_addr PREVIEW 5/5 Sequence complete
RESULT pass system state_make_model BETA 5/5 Sequence complete
RESULT pass system state_software BETA 5/5 Sequence complete
RESULT pass system system_last_update STABLE 5/5 Sequence complete
RESULT pass system system_min_loglevel ALPHA 5/5 Sequence complete
RESULT pass system too_much_state ALPHA 5/5 Sequence complete
RESULT pass system valid_serial_no BETA 5/5 Sequence complete
RESULT pass system.mode system_mode_restart ALPHA 5/5 Sequence complete
RESULT pass writeback writeback_failure ALPHA 5/5 Sequence complete
RESULT pass writeback writeback_invalid ALPHA 5/5 Sequence complete
RESULT pass writeback writeback_success ALPHA 5/5 Sequence complete
