2024-12-01T09:19:19Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-12-01T09:19:19Z WARNING device.log             Starting AHU-1 Pubber sender with delay 10s
2024-12-01T09:19:19Z WARNING device.log             Dropping state update until config received...
2024-12-01T09:19:19Z WARNING device.log             Received config for config latch AHU-1
2024-12-01T09:19:19Z WARNING device.log             Ending connection 1733044758867 with 9
2024-12-01T09:19:19Z NOTICE  system.config.apply    success
2024-12-01T09:19:19Z NOTICE  system.config.apply    success
2024-12-01T09:19:31Z NOTICE  system.config.apply    success
2024-12-01T09:19:31Z INFO    device.log             Update state 2024-12-01T09:19:31Z last_config 2024-12-01T09:19:31Z
2024-12-01T09:19:31Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:19:31Z INFO    device.log             2024-12-01T09:19:31Z received config 2024-12-01T09:19:31Z
2024-12-01T09:19:31Z NOTICE  system.config.apply    success
2024-12-01T09:19:33Z INFO    device.log             Update state 2024-12-01T09:19:33Z last_config 2024-12-01T09:19:31Z
2024-12-01T09:19:34Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:19:34Z INFO    device.log             2024-12-01T09:19:34Z received config 2024-12-01T09:19:34Z
2024-12-01T09:19:34Z NOTICE  system.config.apply    success
2024-12-01T09:19:35Z INFO    device.log             Update state 2024-12-01T09:19:35Z last_config 2024-12-01T09:19:34Z
2024-12-01T09:19:36Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:19:36Z INFO    device.log             2024-12-01T09:19:36Z received config 2024-12-01T09:19:36Z
2024-12-01T09:19:36Z NOTICE  system.config.apply    success
2024-12-01T09:19:37Z INFO    device.log             Update state 2024-12-01T09:19:37Z last_config 2024-12-01T09:19:36Z
2024-12-01T09:19:38Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:19:38Z INFO    device.log             2024-12-01T09:19:38Z received config 2024-12-01T09:19:38Z
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 898ms
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 898ms
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 898ms
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 897ms
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 897ms
2024-12-01T09:19:38Z NOTICE  system.config.apply    success
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 897ms
2024-12-01T09:19:38Z DEBUG   device.log             State update defer 896ms
2024-12-01T09:19:39Z DEBUG   device.log             State update defer 164ms
2024-12-01T09:19:39Z DEBUG   device.log             State update defer 0ms
2024-12-01T09:19:39Z INFO    device.log             Update state 2024-12-01T09:19:39Z last_config 2024-12-01T09:19:38Z
2024-12-01T09:19:39Z DEBUG   device.log             State update AHU-1 (broken_config)
2024-12-01T09:19:40Z DEBUG   system.config.receive  success
2024-12-01T09:19:40Z DEBUG   device.log             State update defer 1709ms
2024-12-01T09:19:40Z DEBUG   system.config.parse    success
2024-12-01T09:19:40Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:19:40Z DEBUG   device.log             State update defer 1708ms
2024-12-01T09:19:40Z DEBUG   device.log             Config update AHU-1 (broken_config)
2024-12-01T09:19:40Z INFO    device.log             2024-12-01T09:19:40Z received config 2024-12-01T09:19:39Z
2024-12-01T09:19:40Z NOTICE  system.config.apply    success
2024-12-01T09:19:40Z DEBUG   device.log             State update defer 1706ms
2024-12-01T09:19:41Z DEBUG   system.config.receive  success
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 599ms
2024-12-01T09:19:41Z DEBUG   system.config.parse    success
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 598ms
2024-12-01T09:19:41Z DEBUG   device.log             Config update AHU-1 (broken_config)
2024-12-01T09:19:41Z INFO    device.log             2024-12-01T09:19:41Z received config 2024-12-01T09:19:41Z
2024-12-01T09:19:41Z NOTICE  system.config.apply    success
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 596ms
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 595ms
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 595ms
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 595ms
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 595ms
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 594ms
2024-12-01T09:19:41Z DEBUG   device.log             State update defer 0ms
2024-12-01T09:19:41Z INFO    device.log             Update state 2024-12-01T09:19:41Z last_config 2024-12-01T09:19:41Z
2024-12-01T09:19:41Z DEBUG   device.log             State update AHU-1 (broken_config)
2024-12-01T09:19:44Z DEBUG   system.config.receive  success
2024-12-01T09:19:44Z DEBUG   device.log             State update defer -1110ms
2024-12-01T09:19:44Z INFO    device.log             Update state 2024-12-01T09:19:44Z last_config 2024-12-01T09:19:41Z
2024-12-01T09:19:44Z ERROR   device.log             Error receiving message config: Unexpected character ('b' (code 98)): was expecting double-quote to start field name
 at [Source: (String)"{ broken by extra_field == break_json"; line: 1, column: 4]
2024-12-01T09:19:44Z DEBUG   device.log             State update AHU-1 (broken_config)
2024-12-01T09:19:44Z ERROR   system.config.parse    Unexpected character ('b' (code 98)): was expecting double-quote to start field name
 at [Source: (String)"{ broken by extra_field == break_json"; line: 1, column: 4]
2024-12-01T09:19:44Z DEBUG   device.log             State update defer 2000ms
2024-12-01T09:19:46Z DEBUG   device.log             State update defer -1ms
2024-12-01T09:19:46Z INFO    device.log             Update state 2024-12-01T09:19:46Z last_config 2024-12-01T09:19:41Z
2024-12-01T09:19:46Z DEBUG   device.log             State update AHU-1 (broken_config)
2024-12-01T09:20:03Z DEBUG   system.config.receive  success
2024-12-01T09:20:03Z DEBUG   device.log             State update defer -14149ms
2024-12-01T09:20:03Z INFO    device.log             Update state 2024-12-01T09:20:03Z last_config 2024-12-01T09:19:41Z
2024-12-01T09:20:03Z DEBUG   device.log             State update AHU-1 (broken_config)
2024-12-01T09:20:03Z DEBUG   system.config.parse    success
2024-12-01T09:20:03Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:20:03Z DEBUG   device.log             Config update AHU-1 (broken_config)
2024-12-01T09:20:03Z DEBUG   device.log             State update defer 2000ms
2024-12-01T09:20:03Z INFO    device.log             2024-12-01T09:20:03Z received config 2024-12-01T09:20:03Z
2024-12-01T09:20:03Z NOTICE  system.config.apply    success
2024-12-01T09:20:05Z INFO    device.log             Update state 2024-12-01T09:20:05Z last_config 2024-12-01T09:20:03Z
2024-12-01T09:20:06Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:20:06Z INFO    device.log             2024-12-01T09:20:06Z received config 2024-12-01T09:20:06Z
2024-12-01T09:20:06Z NOTICE  system.config.apply    success
2024-12-01T09:20:07Z INFO    device.log             Update state 2024-12-01T09:20:07Z last_config 2024-12-01T09:20:06Z
2024-12-01T09:20:08Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:20:08Z INFO    device.log             2024-12-01T09:20:08Z received config 2024-12-01T09:20:08Z
2024-12-01T09:20:08Z NOTICE  system.config.apply    success
2024-12-01T09:20:09Z INFO    device.log             Update state 2024-12-01T09:20:09Z last_config 2024-12-01T09:20:08Z
2024-12-01T09:20:09Z INFO    device.log             Device AHU-1 config handler
2024-12-01T09:20:09Z INFO    device.log             2024-12-01T09:20:09Z received config 2024-12-01T09:20:09Z
2024-12-01T09:20:09Z NOTICE  system.config.apply    success
2024-12-01T09:20:18Z NOTICE  validation.feature.sequence Sequence complete
