2024-12-20T08:32:05Z DEBUG   device.log             State update defer 1499ms
2024-12-20T08:32:06Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:32:06Z INFO    device.log             Update state 2024-12-20T08:32:06Z last_config 2024-12-20T08:32:04Z
2024-12-20T08:32:06Z DEBUG   device.log             State update AHU-1 (endpoint_connection_success_alternate)
2024-12-20T08:32:08Z DEBUG   system.config.receive  success
2024-12-20T08:32:08Z DEBUG   device.log             State update defer -115ms
2024-12-20T08:32:08Z INFO    device.log             Update state 2024-12-20T08:32:08Z last_config 2024-12-20T08:32:04Z
2024-12-20T08:32:08Z DEBUG   system.config.parse    success
2024-12-20T08:32:08Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:32:08Z DEBUG   device.log             Config update AHU-1 (endpoint_connection_success_alternate)
2024-12-20T08:32:08Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:32:08Z INFO    device.log             2024-12-20T08:32:08Z received config 2024-12-20T08:32:08Z
2024-12-20T08:32:08Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:08Z NOTICE  system.config.apply    success
2024-12-20T08:32:08Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:09Z DEBUG   system.config.receive  success
2024-12-20T08:32:09Z DEBUG   device.log             State update defer 820ms
2024-12-20T08:32:09Z DEBUG   system.config.parse    success
2024-12-20T08:32:09Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:32:09Z DEBUG   device.log             State update defer 820ms
2024-12-20T08:32:09Z DEBUG   device.log             Config update AHU-1 (endpoint_connection_success_alternate)
2024-12-20T08:32:09Z INFO    device.log             2024-12-20T08:32:09Z received config 2024-12-20T08:32:09Z
2024-12-20T08:32:09Z DEBUG   device.log             State update defer 818ms
2024-12-20T08:32:09Z NOTICE  system.config.apply    success
2024-12-20T08:32:09Z DEBUG   device.log             State update defer 818ms
2024-12-20T08:32:10Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:32:10Z INFO    device.log             Update state 2024-12-20T08:32:10Z last_config 2024-12-20T08:32:09Z
2024-12-20T08:32:10Z DEBUG   device.log             State update AHU-1 (endpoint_connection_success_alternate)
2024-12-20T08:32:10Z DEBUG   system.config.receive  success
2024-12-20T08:32:10Z DEBUG   device.log             State update defer 1785ms
2024-12-20T08:32:10Z DEBUG   system.config.parse    success
2024-12-20T08:32:10Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:32:10Z DEBUG   device.log             State update defer 1785ms
2024-12-20T08:32:10Z DEBUG   device.log             Config update AHU-1 (endpoint_connection_success_alternate)
