2024-12-09T01:29:14Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-12-09T01:29:14Z WARNING device.log             Starting AHU-1 Pubber sender with delay 10s
2024-12-09T01:29:14Z WARNING device.log             Dropping state update until config received...
2024-12-09T01:29:14Z WARNING device.log             Received config for config latch AHU-1
2024-12-09T01:29:14Z NOTICE  system.config.apply    success
2024-12-09T01:29:14Z WARNING device.log             Ending connection 1733707753528 with 9
2024-12-09T01:29:14Z NOTICE  system.config.apply    success
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1998ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1998ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1998ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1997ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1997ms
2024-12-09T01:29:27Z NOTICE  system.config.apply    success
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1997ms
2024-12-09T01:29:27Z DEBUG   system.config.receive  success
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1938ms
2024-12-09T01:29:27Z DEBUG   system.config.parse    success
2024-12-09T01:29:27Z INFO    device.log             Device AHU-1 config handler
2024-12-09T01:29:27Z DEBUG   device.log             Config update AHU-1 (enumerate_families)
2024-12-09T01:29:27Z INFO    device.log             2024-12-09T01:29:27Z received config 2024-12-09T01:29:27Z
2024-12-09T01:29:27Z NOTICE  system.config.apply    success
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1932ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1932ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1931ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1931ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1931ms
2024-12-09T01:29:27Z DEBUG   device.log             State update defer 1930ms
2024-12-09T01:29:29Z DEBUG   device.log             State update defer 0ms
2024-12-09T01:29:29Z INFO    device.log             Update state 2024-12-09T01:29:29Z last_config 2024-12-09T01:29:27Z
2024-12-09T01:29:29Z DEBUG   device.log             State update AHU-1 (enumerate_families)
2024-12-09T01:29:30Z DEBUG   system.config.receive  success
2024-12-09T01:29:30Z DEBUG   device.log             State update defer 888ms
2024-12-09T01:29:30Z DEBUG   system.config.parse    success
2024-12-09T01:29:30Z INFO    device.log             Device AHU-1 config handler
2024-12-09T01:29:30Z DEBUG   device.log             Config update AHU-1 (enumerate_families)
2024-12-09T01:29:30Z INFO    device.log             2024-12-09T01:29:30Z received config 2024-12-09T01:29:30Z
2024-12-09T01:29:30Z NOTICE  system.config.apply    success
2024-12-09T01:29:30Z DEBUG   device.log             State update defer 885ms
2024-12-09T01:29:30Z DEBUG   device.log             State update defer 885ms
2024-12-09T01:29:30Z DEBUG   device.log             State update defer 885ms
2024-12-09T01:29:31Z DEBUG   device.log             State update defer 0ms
2024-12-09T01:29:31Z INFO    device.log             Update state 2024-12-09T01:29:31Z last_config 2024-12-09T01:29:30Z
2024-12-09T01:29:31Z DEBUG   device.log             State update AHU-1 (enumerate_families)
2024-12-09T01:29:32Z DEBUG   system.config.receive  success
2024-12-09T01:29:32Z DEBUG   device.log             State update defer 867ms
2024-12-09T01:29:32Z DEBUG   system.config.parse    success
2024-12-09T01:29:32Z DEBUG   device.log             State update defer 866ms
2024-12-09T01:29:32Z DEBUG   device.log             Config update AHU-1 (enumerate_families)
2024-12-09T01:29:32Z INFO    device.log             2024-12-09T01:29:32Z received config 2024-12-09T01:29:32Z
2024-12-09T01:29:32Z NOTICE  system.config.apply    success
2024-12-09T01:29:32Z DEBUG   device.log             State update defer 864ms
2024-12-09T01:29:32Z DEBUG   device.log             State update defer 864ms
2024-12-09T01:29:33Z DEBUG   device.log             State update defer 0ms
2024-12-09T01:29:33Z INFO    device.log             Update state 2024-12-09T01:29:33Z last_config 2024-12-09T01:29:32Z
2024-12-09T01:29:33Z DEBUG   device.log             State update AHU-1 (enumerate_families)
2024-12-09T01:29:44Z NOTICE  validation.feature.sequence Sequence complete
