2024-11-30T14:12:45Z WARNING device.log             Starting AHU-1 Pubber sender with delay 10s
2024-11-30T14:12:45Z WARNING device.log             Dropping state update until config received...
2024-11-30T14:12:45Z WARNING device.log             Received config for config latch AHU-1
2024-11-30T14:12:45Z NOTICE  system.config.apply    success
2024-11-30T14:12:45Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-11-30T14:12:45Z WARNING device.log             Ending connection 1732975964440 with 9
2024-11-30T14:12:45Z NOTICE  system.config.apply    success
2024-11-30T14:12:57Z NOTICE  system.config.apply    success
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1995ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1995ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1994ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1994ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1994ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1994ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1993ms
2024-11-30T14:12:57Z DEBUG   system.config.receive  success
2024-11-30T14:12:57Z DEBUG   system.config.parse    success
2024-11-30T14:12:57Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1929ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1928ms
2024-11-30T14:12:57Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:12:57Z INFO    device.log             2024-11-30T14:12:57Z received config 2024-11-30T14:12:57Z
2024-11-30T14:12:57Z NOTICE  system.config.apply    success
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1926ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1926ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1925ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1925ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1925ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1925ms
2024-11-30T14:12:57Z DEBUG   device.log             State update defer 1924ms
2024-11-30T14:12:59Z DEBUG   device.log             State update defer 0ms
2024-11-30T14:12:59Z INFO    device.log             Update state 2024-11-30T14:12:59Z last_config 2024-11-30T14:12:57Z
2024-11-30T14:12:59Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:00Z DEBUG   system.config.receive  success
2024-11-30T14:13:00Z DEBUG   device.log             State update defer 896ms
2024-11-30T14:13:00Z DEBUG   system.config.parse    success
2024-11-30T14:13:00Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:00Z DEBUG   device.log             State update defer 894ms
2024-11-30T14:13:00Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:00Z INFO    device.log             2024-11-30T14:13:00Z received config 2024-11-30T14:13:00Z
2024-11-30T14:13:00Z NOTICE  system.config.apply    success
2024-11-30T14:13:00Z DEBUG   device.log             State update defer 893ms
2024-11-30T14:13:00Z DEBUG   device.log             State update defer 893ms
2024-11-30T14:13:00Z DEBUG   device.log             State update defer 893ms
2024-11-30T14:13:01Z DEBUG   device.log             State update defer 0ms
2024-11-30T14:13:01Z INFO    device.log             Update state 2024-11-30T14:13:01Z last_config 2024-11-30T14:13:00Z
2024-11-30T14:13:01Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:02Z DEBUG   system.config.receive  success
2024-11-30T14:13:02Z DEBUG   system.config.parse    success
2024-11-30T14:13:02Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:02Z DEBUG   device.log             State update defer 791ms
2024-11-30T14:13:02Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:02Z INFO    device.log             2024-11-30T14:13:02Z received config 2024-11-30T14:13:02Z
2024-11-30T14:13:02Z NOTICE  system.config.apply    success
2024-11-30T14:13:02Z DEBUG   device.log             State update defer 789ms
2024-11-30T14:13:03Z DEBUG   device.log             State update defer 0ms
2024-11-30T14:13:03Z INFO    device.log             Update state 2024-11-30T14:13:03Z last_config 2024-11-30T14:13:02Z
2024-11-30T14:13:03Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:04Z DEBUG   system.config.receive  success
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 837ms
2024-11-30T14:13:04Z DEBUG   system.config.parse    success
2024-11-30T14:13:04Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 836ms
2024-11-30T14:13:04Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:04Z INFO    device.log             2024-11-30T14:13:04Z received config 2024-11-30T14:13:04Z
2024-11-30T14:13:04Z NOTICE  system.config.apply    success
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 834ms
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 831ms
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 830ms
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 830ms
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 830ms
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 830ms
2024-11-30T14:13:04Z DEBUG   device.log             State update defer 829ms
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 0ms
2024-11-30T14:13:05Z INFO    device.log             Update state 2024-11-30T14:13:05Z last_config 2024-11-30T14:13:04Z
2024-11-30T14:13:05Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:05Z DEBUG   system.config.receive  success
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 1639ms
2024-11-30T14:13:05Z DEBUG   system.config.parse    success
2024-11-30T14:13:05Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 1638ms
2024-11-30T14:13:05Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:05Z INFO    device.log             2024-11-30T14:13:05Z received config 2024-11-30T14:13:05Z
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 1637ms
2024-11-30T14:13:05Z NOTICE  system.config.apply    success
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 1637ms
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 1636ms
2024-11-30T14:13:05Z DEBUG   device.log             State update defer 1636ms
2024-11-30T14:13:06Z DEBUG   system.config.receive  success
2024-11-30T14:13:06Z DEBUG   device.log             State update defer 527ms
2024-11-30T14:13:06Z DEBUG   system.config.parse    success
2024-11-30T14:13:06Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:06Z DEBUG   device.log             State update defer 527ms
2024-11-30T14:13:06Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:06Z INFO    device.log             2024-11-30T14:13:06Z received config 2024-11-30T14:13:06Z
2024-11-30T14:13:06Z NOTICE  system.config.apply    success
2024-11-30T14:13:06Z DEBUG   device.log             State update defer 526ms
2024-11-30T14:13:07Z DEBUG   device.log             State update defer 0ms
2024-11-30T14:13:07Z INFO    device.log             Update state 2024-11-30T14:13:07Z last_config 2024-11-30T14:13:06Z
2024-11-30T14:13:07Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:09Z DEBUG   system.config.receive  success
2024-11-30T14:13:09Z DEBUG   device.log             State update defer -109ms
2024-11-30T14:13:09Z DEBUG   system.config.parse    success
2024-11-30T14:13:09Z INFO    device.log             Update state 2024-11-30T14:13:09Z last_config 2024-11-30T14:13:06Z
2024-11-30T14:13:09Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:09Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:09Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:09Z DEBUG   device.log             State update defer 1999ms
2024-11-30T14:13:09Z INFO    device.log             2024-11-30T14:13:09Z received config 2024-11-30T14:13:09Z
2024-11-30T14:13:09Z NOTICE  system.config.apply    success
2024-11-30T14:13:09Z DEBUG   device.log             State update defer 1998ms
