2024-12-20T08:45:15Z INFO    device.log             sending AHU-1 message #70 with 3 points
2024-12-20T08:45:16Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:45:16Z INFO    device.log             Update state 2024-12-20T08:45:16Z last_config 2024-12-20T08:45:14Z
2024-12-20T08:45:16Z DEBUG   device.log             State update AHU-1 (family_ipv6_addr)
2024-12-20T08:45:24Z DEBUG   system.config.receive  success
2024-12-20T08:45:24Z DEBUG   device.log             State update defer -6100ms
2024-12-20T08:45:24Z DEBUG   system.config.parse    success
2024-12-20T08:45:24Z INFO    device.log             Update state 2024-12-20T08:45:24Z last_config 2024-12-20T08:45:14Z
2024-12-20T08:45:24Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:45:24Z DEBUG   device.log             State update AHU-1 (family_ipv6_addr)
2024-12-20T08:45:24Z DEBUG   device.log             Config update AHU-1 (family_ipv6_addr)
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:45:24Z INFO    device.log             2024-12-20T08:45:24Z received config 2024-12-20T08:45:24Z
2024-12-20T08:45:24Z INFO    device.log             Discovery scan vendor phase stopped as null
2024-12-20T08:45:24Z NOTICE  system.config.apply    success
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:24Z DEBUG   system.config.receive  success
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1927ms
2024-12-20T08:45:24Z DEBUG   system.config.parse    success
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1926ms
2024-12-20T08:45:24Z DEBUG   device.log             Config update AHU-1 (family_ether_addr)
2024-12-20T08:45:24Z INFO    device.log             2024-12-20T08:45:24Z received config 2024-12-20T08:45:24Z
2024-12-20T08:45:24Z INFO    device.log             Discovery scan vendor phase stopped as null
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1925ms
2024-12-20T08:45:24Z NOTICE  system.config.apply    success
2024-12-20T08:45:24Z DEBUG   device.log             State update defer 1925ms
2024-12-20T08:45:25Z DEBUG   device.log             State update defer 1740ms
2024-12-20T08:45:26Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:45:26Z INFO    device.log             Update state 2024-12-20T08:45:26Z last_config 2024-12-20T08:45:24Z
2024-12-20T08:45:26Z DEBUG   device.log             State update AHU-1 (family_ether_addr)
2024-12-20T08:45:28Z DEBUG   system.config.receive  success
2024-12-20T08:45:28Z DEBUG   device.log             State update defer -56ms
2024-12-20T08:45:28Z INFO    device.log             Update state 2024-12-20T08:45:28Z last_config 2024-12-20T08:45:24Z
2024-12-20T08:45:28Z DEBUG   system.config.parse    success
2024-12-20T08:45:28Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:45:28Z DEBUG   device.log             State update AHU-1 (family_ether_addr)
2024-12-20T08:45:28Z DEBUG   device.log             Config update AHU-1 (family_ether_addr)
2024-12-20T08:45:28Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:45:28Z INFO    device.log             2024-12-20T08:45:28Z received config 2024-12-20T08:45:28Z
2024-12-20T08:45:28Z INFO    device.log             Discovery scan vendor phase stopped as null
2024-12-20T08:45:28Z NOTICE  system.config.apply    success
2024-12-20T08:45:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:30Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:45:30Z INFO    device.log             Update state 2024-12-20T08:45:30Z last_config 2024-12-20T08:45:28Z
2024-12-20T08:45:30Z DEBUG   device.log             State update AHU-1 (family_ether_addr)
2024-12-20T08:45:32Z DEBUG   system.config.receive  success
2024-12-20T08:45:32Z DEBUG   device.log             State update defer -93ms
2024-12-20T08:45:32Z INFO    device.log             Update state 2024-12-20T08:45:32Z last_config 2024-12-20T08:45:28Z
2024-12-20T08:45:32Z DEBUG   system.config.parse    success
2024-12-20T08:45:32Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:45:32Z DEBUG   device.log             State update AHU-1 (family_ether_addr)
2024-12-20T08:45:32Z DEBUG   device.log             Config update AHU-1 (family_ether_addr)
2024-12-20T08:45:32Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:45:32Z INFO    device.log             2024-12-20T08:45:32Z received config 2024-12-20T08:45:32Z
2024-12-20T08:45:32Z INFO    device.log             Discovery scan vendor phase stopped as null
2024-12-20T08:45:32Z NOTICE  system.config.apply    success
2024-12-20T08:45:32Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:32Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:32Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:45:34Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:45:34Z INFO    device.log             Update state 2024-12-20T08:45:34Z last_config 2024-12-20T08:45:32Z
2024-12-20T08:45:34Z DEBUG   device.log             State update AHU-1 (family_ether_addr)
2024-12-20T08:45:41Z NOTICE  validation.feature.sequence Sequence complete
