2024-12-03T15:59:08Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-12-03T15:59:08Z WARNING device.log             Starting AHU-1 Pubber sender with delay 10s
2024-12-03T15:59:08Z WARNING device.log             Dropping state update until config received...
2024-12-03T15:59:08Z WARNING device.log             Received config for config latch AHU-1
2024-12-03T15:59:08Z NOTICE  system.config.apply    success
2024-12-03T15:59:08Z WARNING device.log             Ending connection 1733241548000 with 9
2024-12-03T15:59:08Z NOTICE  system.config.apply    success
2024-12-03T15:59:20Z NOTICE  system.config.apply    success
2024-12-03T15:59:20Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:20Z INFO    device.log             2024-12-03T15:59:20Z received config 2024-12-03T15:59:20Z
2024-12-03T15:59:20Z NOTICE  system.config.apply    success
2024-12-03T15:59:22Z INFO    device.log             Update state 2024-12-03T15:59:22Z last_config 2024-12-03T15:59:20Z
2024-12-03T15:59:23Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:23Z INFO    device.log             2024-12-03T15:59:23Z received config 2024-12-03T15:59:23Z
2024-12-03T15:59:23Z NOTICE  system.config.apply    success
2024-12-03T15:59:24Z INFO    device.log             Update state 2024-12-03T15:59:24Z last_config 2024-12-03T15:59:23Z
2024-12-03T15:59:25Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:25Z INFO    device.log             2024-12-03T15:59:25Z received config 2024-12-03T15:59:25Z
2024-12-03T15:59:25Z NOTICE  system.config.apply    success
2024-12-03T15:59:26Z INFO    device.log             Update state 2024-12-03T15:59:26Z last_config 2024-12-03T15:59:25Z
2024-12-03T15:59:27Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:27Z INFO    device.log             2024-12-03T15:59:27Z received config 2024-12-03T15:59:27Z
2024-12-03T15:59:27Z NOTICE  system.config.apply    success
2024-12-03T15:59:28Z INFO    device.log             Update state 2024-12-03T15:59:28Z last_config 2024-12-03T15:59:27Z
2024-12-03T15:59:28Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:28Z INFO    device.log             2024-12-03T15:59:28Z received config 2024-12-03T15:59:28Z
2024-12-03T15:59:28Z NOTICE  system.config.apply    success
2024-12-03T15:59:29Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:29Z INFO    device.log             2024-12-03T15:59:29Z received config 2024-12-03T15:59:29Z
2024-12-03T15:59:29Z NOTICE  system.config.apply    success
2024-12-03T15:59:30Z INFO    device.log             Update state 2024-12-03T15:59:30Z last_config 2024-12-03T15:59:29Z
2024-12-03T15:59:31Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:31Z INFO    device.log             2024-12-03T15:59:31Z received config 2024-12-03T15:59:31Z
2024-12-03T15:59:31Z NOTICE  system.config.apply    success
2024-12-03T15:59:32Z INFO    device.log             Update state 2024-12-03T15:59:32Z last_config 2024-12-03T15:59:31Z
2024-12-03T15:59:36Z INFO    device.log             Update state 2024-12-03T15:59:36Z last_config 2024-12-03T15:59:31Z
2024-12-03T15:59:36Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:36Z INFO    device.log             2024-12-03T15:59:36Z received config 2024-12-03T15:59:36Z
2024-12-03T15:59:36Z INFO    device.log             Discovery scan generation vendor pending at 2024-12-03T15:59:54Z
2024-12-03T15:59:36Z NOTICE  system.config.apply    success
2024-12-03T15:59:38Z INFO    device.log             Update state 2024-12-03T15:59:38Z last_config 2024-12-03T15:59:36Z
2024-12-03T15:59:54Z INFO    device.log             Discovery scan starting vendor generation 2024-12-03T15:59:54Z
2024-12-03T15:59:54Z INFO    device.log             Update state 2024-12-03T15:59:54Z last_config 2024-12-03T15:59:36Z
2024-12-03T15:59:54Z INFO    device.log             Discovered vendor device 20231 for gen 2024-12-03T15:59:54Z
2024-12-03T15:59:54Z INFO    device.log             Discovered vendor device 28179023 for gen 2024-12-03T15:59:54Z
2024-12-03T15:59:54Z INFO    device.log             Discovered vendor device 0x65 for gen 2024-12-03T15:59:54Z
2024-12-03T15:59:54Z ERROR   device.log             Error while executing scheduled future: While checking for discovery scan start
2024-12-03T15:59:56Z INFO    device.log             Update state 2024-12-03T15:59:56Z last_config 2024-12-03T15:59:36Z
2024-12-03T16:00:04Z INFO    device.log             Update state 2024-12-03T16:00:04Z last_config 2024-12-03T15:59:36Z
2024-12-03T16:00:17Z NOTICE  validation.feature.sequence Sequence complete
