2024-12-09T02:11:52Z WARNING device.log             Dropping state update until config received...
2024-12-09T02:11:52Z WARNING device.log             Received config for config latch AHU-1
2024-12-09T02:11:52Z NOTICE  system.config.apply    success
2024-12-09T02:11:52Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-12-09T02:11:52Z WARNING device.log             Ending connection 1733710311313 with 9
2024-12-09T02:11:52Z NOTICE  system.config.apply    success
2024-12-09T02:12:04Z NOTICE  system.config.apply    success
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1999ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1999ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1999ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1998ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1998ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1998ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1997ms
2024-12-09T02:12:04Z DEBUG   system.config.receive  success
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1941ms
2024-12-09T02:12:04Z DEBUG   system.config.parse    success
2024-12-09T02:12:04Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1939ms
2024-12-09T02:12:04Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:04Z INFO    device.log             2024-12-09T02:12:04Z received config 2024-12-09T02:12:04Z
2024-12-09T02:12:04Z NOTICE  system.config.apply    success
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1937ms
2024-12-09T02:12:04Z DEBUG   device.log             State update defer 1936ms
2024-12-09T02:12:06Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:06Z INFO    device.log             Update state 2024-12-09T02:12:06Z last_config 2024-12-09T02:12:04Z
2024-12-09T02:12:06Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:07Z DEBUG   system.config.receive  success
2024-12-09T02:12:07Z DEBUG   system.config.parse    success
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 902ms
2024-12-09T02:12:07Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:07Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:07Z INFO    device.log             2024-12-09T02:12:07Z received config 2024-12-09T02:12:07Z
2024-12-09T02:12:07Z NOTICE  system.config.apply    success
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 900ms
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 900ms
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 899ms
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 899ms
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 899ms
2024-12-09T02:12:07Z DEBUG   device.log             State update defer 898ms
2024-12-09T02:12:08Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:08Z INFO    device.log             Update state 2024-12-09T02:12:08Z last_config 2024-12-09T02:12:07Z
2024-12-09T02:12:08Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:09Z DEBUG   system.config.receive  success
2024-12-09T02:12:09Z DEBUG   device.log             State update defer 806ms
2024-12-09T02:12:09Z DEBUG   system.config.parse    success
2024-12-09T02:12:09Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:09Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:09Z INFO    device.log             2024-12-09T02:12:09Z received config 2024-12-09T02:12:09Z
2024-12-09T02:12:09Z DEBUG   device.log             State update defer 802ms
2024-12-09T02:12:09Z DEBUG   device.log             State update defer 802ms
2024-12-09T02:12:09Z DEBUG   device.log             State update defer 802ms
2024-12-09T02:12:09Z NOTICE  system.config.apply    success
2024-12-09T02:12:09Z DEBUG   device.log             State update defer 802ms
2024-12-09T02:12:09Z DEBUG   device.log             State update defer 801ms
2024-12-09T02:12:10Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:10Z INFO    device.log             Update state 2024-12-09T02:12:10Z last_config 2024-12-09T02:12:09Z
2024-12-09T02:12:10Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:11Z DEBUG   system.config.receive  success
2024-12-09T02:12:11Z DEBUG   device.log             State update defer 852ms
2024-12-09T02:12:11Z DEBUG   system.config.parse    success
2024-12-09T02:12:11Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:11Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:11Z INFO    device.log             2024-12-09T02:12:11Z received config 2024-12-09T02:12:11Z
2024-12-09T02:12:11Z NOTICE  system.config.apply    success
2024-12-09T02:12:11Z DEBUG   device.log             State update defer 849ms
2024-12-09T02:12:11Z DEBUG   device.log             State update defer 849ms
2024-12-09T02:12:11Z DEBUG   device.log             State update defer 849ms
2024-12-09T02:12:11Z DEBUG   device.log             State update defer 849ms
2024-12-09T02:12:12Z DEBUG   device.log             State update defer 645ms
2024-12-09T02:12:12Z DEBUG   device.log             State update defer 0ms
