2024-12-03T15:58:35Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-12-03T15:58:35Z WARNING device.log             Starting AHU-1 Pubber sender with delay 10s
2024-12-03T15:58:35Z WARNING device.log             Dropping state update until config received...
2024-12-03T15:58:35Z WARNING device.log             Received config for config latch AHU-1
2024-12-03T15:58:35Z WARNING device.log             Ending connection 1733241514454 with 9
2024-12-03T15:58:35Z NOTICE  system.config.apply    success
2024-12-03T15:58:35Z NOTICE  system.config.apply    success
2024-12-03T15:58:46Z NOTICE  system.config.apply    success
2024-12-03T15:58:46Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:58:46Z INFO    device.log             2024-12-03T15:58:46Z received config 2024-12-03T15:58:46Z
2024-12-03T15:58:46Z NOTICE  system.config.apply    success
2024-12-03T15:58:48Z INFO    device.log             Update state 2024-12-03T15:58:48Z last_config 2024-12-03T15:58:46Z
2024-12-03T15:58:49Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:58:49Z INFO    device.log             2024-12-03T15:58:49Z received config 2024-12-03T15:58:49Z
2024-12-03T15:58:49Z NOTICE  system.config.apply    success
2024-12-03T15:58:50Z INFO    device.log             Update state 2024-12-03T15:58:50Z last_config 2024-12-03T15:58:49Z
2024-12-03T15:58:52Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:58:52Z INFO    device.log             2024-12-03T15:58:52Z received config 2024-12-03T15:58:51Z
2024-12-03T15:58:52Z NOTICE  system.config.apply    success
2024-12-03T15:58:52Z INFO    device.log             Update state 2024-12-03T15:58:52Z last_config 2024-12-03T15:58:51Z
2024-12-03T15:58:53Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:58:53Z INFO    device.log             2024-12-03T15:58:53Z received config 2024-12-03T15:58:53Z
2024-12-03T15:58:53Z NOTICE  system.config.apply    success
2024-12-03T15:58:54Z INFO    device.log             Update state 2024-12-03T15:58:54Z last_config 2024-12-03T15:58:53Z
2024-12-03T15:58:55Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:58:55Z INFO    device.log             2024-12-03T15:58:55Z received config 2024-12-03T15:58:54Z
2024-12-03T15:58:55Z NOTICE  system.config.apply    success
2024-12-03T15:58:55Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:58:55Z INFO    device.log             2024-12-03T15:58:55Z received config 2024-12-03T15:58:55Z
2024-12-03T15:58:55Z NOTICE  system.config.apply    success
2024-12-03T15:58:56Z INFO    device.log             2024-12-03T15:58:56Z received config 2024-12-03T15:58:56Z
2024-12-03T15:58:56Z NOTICE  system.config.apply    success
2024-12-03T15:58:56Z INFO    device.log             Update state 2024-12-03T15:58:56Z last_config 2024-12-03T15:58:56Z
2024-12-03T15:59:00Z INFO    device.log             Update state 2024-12-03T15:59:00Z last_config 2024-12-03T15:58:56Z
2024-12-03T15:59:00Z INFO    device.log             Device AHU-1 config handler
2024-12-03T15:59:00Z INFO    device.log             2024-12-03T15:59:00Z received config 2024-12-03T15:59:00Z
2024-12-03T15:59:00Z INFO    device.log             Discovery scan generation vendor pending at 2024-12-03T15:58:51Z
2024-12-03T15:59:00Z NOTICE  system.config.apply    success
2024-12-03T15:59:00Z INFO    device.log             Discovery scan starting vendor generation 2024-12-03T15:58:51Z
2024-12-03T15:59:00Z INFO    device.log             Discovered vendor device 20231 for gen 2024-12-03T15:58:51Z
2024-12-03T15:59:00Z INFO    device.log             Discovered vendor device 28179023 for gen 2024-12-03T15:58:51Z
2024-12-03T15:59:00Z INFO    device.log             Discovered vendor device 0x65 for gen 2024-12-03T15:58:51Z
2024-12-03T15:59:02Z INFO    device.log             Update state 2024-12-03T15:59:02Z last_config 2024-12-03T15:59:00Z
2024-12-03T15:59:11Z NOTICE  validation.feature.sequence Sequence complete
