2024-11-06T17:32:30Z WARNING device.log             Received config for config latch AHU-1
2024-11-06T17:32:30Z NOTICE  system.config.apply    success
2024-11-06T17:32:30Z INFO    device.log             Update state 2024-11-06T17:32:30Z last_config 2024-11-06T17:32:11Z
2024-11-06T17:32:30Z INFO    device.log             Connection complete.
2024-11-06T17:32:30Z WARNING device.log             Start waiting 10s for config latch for AHU-1
2024-11-06T17:32:30Z WARNING device.log             Ending connection 1730914350062 with 9
2024-11-06T17:32:30Z NOTICE  device.log             Endpoint connection restored to last working endpoint
2024-11-06T17:32:30Z ERROR   device.log             While redirecting connection endpoint: While resetting connection
2024-11-06T17:32:31Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:31Z INFO    device.log             2024-11-06T17:32:31Z received config 2024-11-06T17:32:31Z
2024-11-06T17:32:31Z NOTICE  system.config.apply    success
2024-11-06T17:32:32Z INFO    device.log             Update state 2024-11-06T17:32:32Z last_config 2024-11-06T17:32:31Z
2024-11-06T17:32:39Z INFO    device.log             Update state 2024-11-06T17:32:39Z last_config 2024-11-06T17:32:31Z
2024-11-06T17:32:48Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:48Z INFO    device.log             2024-11-06T17:32:48Z received config 2024-11-06T17:32:48Z
2024-11-06T17:32:48Z NOTICE  system.config.apply    success
2024-11-06T17:32:48Z INFO    device.log             Update state 2024-11-06T17:32:48Z last_config 2024-11-06T17:32:48Z
2024-11-06T17:32:48Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:48Z INFO    device.log             2024-11-06T17:32:48Z received config 2024-11-06T17:32:48Z
2024-11-06T17:32:48Z NOTICE  system.config.apply    success
2024-11-06T17:32:50Z INFO    device.log             Update state 2024-11-06T17:32:50Z last_config 2024-11-06T17:32:48Z
2024-11-06T17:32:51Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:51Z INFO    device.log             2024-11-06T17:32:51Z received config 2024-11-06T17:32:51Z
2024-11-06T17:32:51Z NOTICE  system.config.apply    success
2024-11-06T17:32:52Z INFO    device.log             Update state 2024-11-06T17:32:52Z last_config 2024-11-06T17:32:51Z
2024-11-06T17:32:54Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:54Z INFO    device.log             2024-11-06T17:32:54Z received config 2024-11-06T17:32:53Z
2024-11-06T17:32:54Z NOTICE  system.config.apply    success
2024-11-06T17:32:54Z INFO    device.log             Update state 2024-11-06T17:32:54Z last_config 2024-11-06T17:32:53Z
2024-11-06T17:32:55Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:55Z INFO    device.log             2024-11-06T17:32:55Z received config 2024-11-06T17:32:55Z
2024-11-06T17:32:55Z NOTICE  system.config.apply    success
2024-11-06T17:32:56Z INFO    device.log             Update state 2024-11-06T17:32:56Z last_config 2024-11-06T17:32:55Z
2024-11-06T17:32:57Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:57Z INFO    device.log             2024-11-06T17:32:57Z received config 2024-11-06T17:32:57Z
2024-11-06T17:32:57Z NOTICE  system.config.apply    success
2024-11-06T17:32:58Z INFO    device.log             Device AHU-1 config handler
2024-11-06T17:32:58Z INFO    device.log             2024-11-06T17:32:58Z received config 2024-11-06T17:32:58Z
2024-11-06T17:32:58Z NOTICE  system.config.apply    success
2024-11-06T17:32:58Z INFO    device.log             Update state 2024-11-06T17:32:58Z last_config 2024-11-06T17:32:58Z
2024-11-06T17:33:10Z NOTICE  validation.feature.sequence Sequence complete
